Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,File,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,,,Microsoft.Extensions.Hosting 7.0.0,,,,,"Microsoft.Extensions.Hosting, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,File,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,,,Microsoft.Extensions.Http 7.0.0,,,,,"Microsoft.Extensions.Http, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.5"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,File,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,,,Serilog.Sinks.ColoredConsole 3.0.1,,,,,"Serilog.Sinks.ColoredConsole, 3.0.1  Recommendation:  Should be replaced. Remove Serilog.Sinks.ColoredConsole, and replace with new package Serilog.Sinks.ColoredConsole, 3.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,File,src\lmondeil.cli.cosmosdb\lmondeil.cli.cosmosdb.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\lmondeil.cli.cosmosdb.models\lmondeil.cli.cosmosdb.models.csproj,File,src\lmondeil.cli.cosmosdb.models\lmondeil.cli.cosmosdb.models.csproj,,,Newtonsoft.Json 10.0.3,,,,,"Newtonsoft.Json, 10.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,src\lmondeil.cli.cosmosdb.models\lmondeil.cli.cosmosdb.models.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src\lmondeil.cli.cosmosdb.models\lmondeil.cli.cosmosdb.models.csproj,File,src\lmondeil.cli.cosmosdb.models\lmondeil.cli.cosmosdb.models.csproj,,,Newtonsoft.Json 10.0.3,,,,,"Newtonsoft.Json, 10.0.3  Recommendation:  Newtonsoft.Json, 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\lmondeil.cli.cosmosdb.models\lmondeil.cli.cosmosdb.models.csproj,File,src\lmondeil.cli.cosmosdb.models\lmondeil.cli.cosmosdb.models.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\lmondeil.cli.cosmosdb.services\lmondeil.cli.cosmosdb.services.csproj,File,src\lmondeil.cli.cosmosdb.services\lmondeil.cli.cosmosdb.services.csproj,,,Microsoft.Extensions.Logging.Abstractions 7.0.0,,,,,"Microsoft.Extensions.Logging.Abstractions, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.5"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,src\lmondeil.cli.cosmosdb.services\lmondeil.cli.cosmosdb.services.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\lmondeil.cli.cosmosdb.services\lmondeil.cli.cosmosdb.services.csproj,File,src\lmondeil.cli.cosmosdb.services\lmondeil.cli.cosmosdb.services.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,tests\lmondeil.cli.cosmosdb.services.tests\lmondeil.cli.cosmosdb.services.tests.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\lmondeil.cli.cosmosdb.services.tests\lmondeil.cli.cosmosdb.services.tests.csproj,File,tests\lmondeil.cli.cosmosdb.services.tests\lmondeil.cli.cosmosdb.services.tests.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
